Lambda:10, processor number:4, step:0.1, utilization range:[0-4], period range:[1e+05-1e+06]
Utilization,WF-DM-normal ratio,WF-DM-spinlock ratio,WF-DM-semephore ratio,
0,1,1,1,
0.1,1,1,1,
0.2,1,1,1,
0.3,1,1,1,
0.4,1,1,1,
0.5,1,1,1,
0.6,1,0.999,1,
0.7,1,0.999,1,
0.8,1,0.99,1,
0.9,1,0.962,0.998,
1,1,0.935,0.998,
1.1,0.998,0.851,0.992,
1.2,0.999,0.734,0.998,
1.3,0.997,0.581,0.994,
1.4,0.997,0.503,0.994,
1.5,0.986,0.353,0.977,
1.6,0.991,0.243,0.984,
1.7,0.978,0.148,0.957,
1.8,0.97,0.088,0.937,
1.9,0.98,0.027,0.931,
2,0.945,0.013,0.87,
2.1,0.939,0.009,0.81,
2.2,0.902,0.003,0.698,
2.3,0.872,0.001,0.569,
2.4,0.852,0,0.398,
2.5,0.796,0,0.219,
2.6,0.734,0,0.103,
2.7,0.635,0,0.035,
2.8,0.514,0,0.001,
2.9,0.404,0,0.002,
3,0.252,0,0,
3.1,0.143,0,0,
3.2,0.05,0,0,
3.3,0.011,0,0,
3.4,0,0,0,
3.5,0,0,0,
3.6,0,0,0,
3.7,0,0,0,
3.8,0,0,0,
3.9,0,0,0,
4,0,0,0,
